Depth,Quartz,Calcite/Aragonite,Dolomite,Ankerite,Siderite,Dawsonite,Total K-feldspars,Orthoclase,Sanidine,Microcline,Anorthoclase,Total Plagioclase,Albite,Oligoclase,Andesine,Labradorite,Bytownite,Anorthite,Buddingtonite,Muscovite,Illite,Montmorillonite,Clinochlore,Kaolinite,Biotite,Glauconite,Pyrite,Hornblende,API Number,Chlorite,Smectite,Illite Smectite mix,Illite Smectite Mix,Dolomite+,Apatite,Barite,Illite/Mica,Fe Calcite,Fe Dolomite,Dolomite*,Albite.1
3689.75,58.0,0.7,3.6,,0.0,,1.4,,,,,4.0,,,,,,,,,30.9,,,19.2,,,2.4,,49-037-05236,,,,,,,,,,,,
3691.75,57.5,0.0,3.1,,1.6,,2.7,,,,,5.9,,,,,,,,,33.5,,,11.3,,,2.5,,49-037-05236,,,,,,,,,,,,
3692.75,51.9,0.5,2.4,,1.7,,2.1,,,,,7.5,,,,,,,,,34.0,,,10.6,,,3.8,,49-037-05236,,,,,,,,,,,,
3695.0,51.3,0.0,2.4,,3.7,,2.1,,,,,7.5,,,,,,,,,33.2,,,13.0,,,2.4,,49-037-05236,,,,,,,,,,,,
4728.0,113.0,,23.0,,,,14.0,,,,,0.0,,,,,,,,3.0,,,,0.0,1.0,,,,49-037-05683,0.0,,,,,,,,,,,
4729.0,119.0,,18.0,,,,12.0,,,,,1.0,,,,,,,,3.0,,,,0.0,0.0,,,,49-037-05683,0.0,,,,,,,,,,,
4736.1,132.0,,22.0,,,,7.0,,,,,2.0,,,,,,,,1.0,,,,3.0,0.0,,,,49-037-05683,1.0,,,,,,,,,,,
4743.0,138.0,,31.0,,,,10.0,,,,,0.0,,,,,,,,1.0,,,,1.0,0.0,,,,49-037-05683,1.0,,,,,,,,,,,
4290,125.0,,,,,,,,,,,,,,,,,,,,33.0,33.0,,20.0,,,,,49-037-05911,,,,,,,,,,,,
4300,,20.0,,,,,,50.0,,,,38.0,,,,,,,,,,,,,,,,,49-037-05911,,,,,,,,,,,,
7721.0,43.4,0.7,,,,,0.9,,,,,33.0,,,,,,,,,,,,,,,,,49-037-06253,,,,,,,,,,,,
7722.0,6.8,8.1,,,,,3.8,,,,,23.5,,,,,,,,,,,,,,,,,49-037-06253,,,,,,,,,,,,
7724.0,48.7,5.2,,,,,15.5,,,,,14.2,,,,,,,,,,,,,,,,,49-037-06253,,,,,,,,,,,,
7724.0,32.1,0.6,,,,,6.3,,,,,20.0,,,,,,,,,,,,,,,,,49-037-06253,,,,,,,,,,,,
7725.0,8.0,8.4,,,,,2.6,,,,,24.7,,,,,,,,,,,,,,,,,49-037-06253,,,,,,,,,,,,
7726.25,15.9,5.6,,,,,2.6,,,,,19.6,,,,,,,,,,,,,,,,,49-037-06253,,,,,,,,,,,,
7727.0,13.7,7.6,,,,,3.5,,,,,18.1,,,,,,,,,,,,,,,,,49-037-06253,,,,,,,,,,,,
10744,52.6,3.1,0.9,4.2,0.2,,20.9,5.1,,,,,,,,,,,,5.0,5.6,0.6,2.1,2.7,0.1,1.4,0.6,0.1,49-037-06373,,,,,,,,,,,,
10760.5,49.8,2.8,0.7,6.1,0.3,,19.5,2.9,,,,,,,,,,,,9.0,4.3,0.4,3.0,0.6,0.2,1.4,0.2,1.6,49-037-06373,,,,,,,,,,,,
10791,51.2,2.9,1.3,3.2,0.2,,23.0,6.9,,,,,,,,,,,,7.7,0.1,0.5,2.6,2.5,0.2,1.5,0.4,3.0,49-037-06373,,,,,,,,,,,,
13281.6,55.6,1.9,4.6,9.6,0.0,,17.5,9.3,,,,,,,,,,,,5.2,0.0,0.9,0.6,0.1,0.1,1.1,0.6,2.4,49-037-06373,,,,,,,,,,,,
13313.5,64.5,5.8,3.8,0.8,0.1,,15.2,3.2,,,,,,,,,,,,4.7,0.8,0.3,0.2,1.5,0.2,1.2,0.5,0.2,49-037-06373,,,,,,,,,,,,
5749,44.5,2.3,0.9,3.1,0.1,,23.7,6.6,,,,,,,,,,,,8.8,0.5,0.5,4.1,4.8,0.3,2.1,1.1,3.6,49-037-06373,,,,,,,,,,,,
5767,56.4,1.0,0.3,0.4,0.2,,27.5,7.5,,,,,,,,,,,,4.8,0.8,0.7,2.0,3.0,0.1,1.2,0.6,1.0,49-037-06373,,,,,,,,,,,,
8600.2,46.9,3.7,1.6,2.7,0.8,,22.8,4.2,,,,,,,,,,,,7.5,6.5,0.2,3.4,1.9,0.5,0.4,0.3,0.1,49-037-06373,,,,,,,,,,,,
" 8,606.3 ",27.5,7.7,24.0,10.1,0.5,,14.4,2.4,,,,,,,,,,,,4.5,4.5,1.2,0.6,0.4,0.7,2.2,1.1,1.0,49-037-06373,,,,,,,,,,,,
" 9,393.5 ",44.5,16.8,0.0,0.7,1.0,,23.2,5.0,,,,,,,,,,,,4.5,0.3,0.9,0.6,3.7,0.3,1.3,1.6,0.7,49-037-06373,,,,,,,,,,,,
" 9,395.1 ",59.0,0.8,0.0,0.2,0.0,,22.3,0.5,,,,,,,,,,,,7.5,1.8,0.2,1.2,1.8,0.2,2.3,0.2,2.5,49-037-06373,,,,,,,,,,,,
" 7,457.0 ",46.5,2.4,1.1,6.2,0.2,,23.5,5.4,,,,,,,,,,,,9.1,1.0,2.1,2.3,2.3,1.0,0.5,0.8,1.0,49-037-06373,,,,,,,,,,,,
" 7,466.3 ",44.9,6.8,5.0,1.0,0.5,,20.4,3.0,,,,,,,,,,,,10.5,1.3,0.8,3.0,2.2,0.2,0.7,0.1,2.6,49-037-06373,,,,,,,,,,,,
" 13,534.6 ",65.6,1.9,0.0,0.4,0.0,,19.1,3.3,,,,,,,,,,,,4.7,0.8,0.5,2.1,1.2,0.1,2.5,0.4,0.6,49-037-06373,,,,,,,,,,,,
" 13,555.5 ",64.0,1.2,1.1,0.2,0.1,,18.6,1.7,,,,,,,,,,,,6.1,0.1,1.1,1.9,1.2,0.0,3.3,0.7,0.5,49-037-06373,,,,,,,,,,,,
" 7,741.9 ",46.7,5.7,0.8,3.2,0.5,,19.0,1.4,,,,,,,,,,,,9.0,0.6,0.5,3.1,8.0,0.1,1.5,1.0,0.4,49-037-06373,,,,,,,,,,,,
" 7,751.5 ",37.2,15.2,5.7,1.7,0.3,,15.3,1.3,,,,,,,,,,,,8.5,0.2,1.1,2.3,6.5,0.1,1.2,1.6,3.1,49-037-06373,,,,,,,,,,,,
" 7,785.0 ",49.1,3.7,2.5,2.4,0.5,,23.1,3.9,,,,,,,,,,,,7.3,1.9,0.5,4.5,2.9,0.1,0.7,0.7,0.4,49-037-06373,,,,,,,,,,,,
" 7,822.8 ",38.6,2.1,2.7,2.5,0.2,,23.4,7.4,,,,,,,,,,,,16.7,1.3,1.1,1.1,2.5,0.9,1.4,0.4,5.5,49-037-06373,,,,,,,,,,,,
" 8,698.5 ",47.2,4.9,0.4,3.0,0.1,,22.4,4.4,,,,,,,,,,,,8.0,4.8,0.2,2.8,2.9,0.7,0.5,0.4,1.9,49-037-06373,,,,,,,,,,,,
" 8,730.4 ",38.5,19.7,1.2,2.3,0.4,,22.1,6.1,,,,,,,,,,,,4.1,5.5,0.5,2.5,1.2,0.2,0.2,1.3,0.3,49-037-06373,,,,,,,,,,,,
" 8,742.0 ",47.4,4.9,1.0,3.2,1.0,,24.3,6.4,,,,,,,,,,,,6.6,2.2,0.9,3.3,3.0,0.3,1.0,0.2,1.1,49-037-06373,,,,,,,,,,,,
" 8,785.2 ",30.0,1.8,7.7,2.9,0.8,,18.5,4.8,,,,,,,,,,,,18.5,3.9,0.0,3.0,9.9,1.7,0.9,0.3,0.5,49-037-06373,,,,,,,,,,,,
" 8,800.1 ",41.7,3.1,3.0,2.2,2.1,,25.2,4.9,,,,,,,,,,,,11.4,0.9,1.6,2.3,3.9,0.1,1.0,0.5,1.3,49-037-06373,,,,,,,,,,,,
" 9,911.3 ",55.8,2.1,1.0,2.4,0.2,,22.2,2.1,,,,,,,,,,,,5.0,2.9,0.5,2.2,1.1,0.2,3.1,1.4,0.0,49-037-06373,,,,,,,,,,,,
" 9,933.0 ",36.8,2.1,5.5,3.2,0.4,,12.5,0.2,,,,,,,,,,,,26.4,1.2,1.5,3.7,2.3,0.2,3.1,1.0,0.4,49-037-06373,,,,,,,,,,,,
" 9,999.9 ",38.6,2.3,27.5,3.5,1.2,,17.0,1.8,,,,,,,,,,,,3.5,2.4,0.4,0.1,1.6,0.8,0.3,0.3,1.1,49-037-06373,,,,,,,,,,,,
" 10,952.1 ",54.9,1.4,0.5,0.6,0.1,,24.7,4.3,,,,,,,,,,,,6.2,2.3,0.3,3.8,1.0,0.3,2.4,0.2,1.4,49-037-06373,,,,,,,,,,,,
" 10,965.2 ",57.3,2.5,0.3,0.5,0.1,,25.0,8.8,,,,,,,,,,,,6.2,0.5,0.4,1.5,2.7,0.1,2.6,0.1,0.6,49-037-06373,,,,,,,,,,,,
" 11,252.2 ",50.8,0.3,3.9,2.8,0.0,,19.8,0.6,,,,,,,,,,,,9.3,0.6,0.5,2.2,3.8,0.4,4.1,0.1,0.7,49-037-06373,,,,,,,,,,,,
" 11,292.6 ",48.7,1.4,3.2,2.9,0.6,,21.6,1.3,,,,,,,,,,,,11.7,4.0,0.2,0.6,1.8,0.5,0.7,1.3,0.8,49-037-06373,,,,,,,,,,,,
" 11,300.3 ",48.9,4.5,0.6,3.9,0.4,,24.7,1.3,,,,,,,,,,,,6.5,1.6,1.4,1.4,3.2,0.4,1.1,0.9,0.6,49-037-06373,,,,,,,,,,,,
" 11,311.5 ",44.6,2.0,9.5,2.8,0.1,,15.5,1.3,,,,,,,,,,,,14.3,0.9,0.2,4.0,0.9,1.3,1.5,2.2,0.6,49-037-06373,,,,,,,,,,,,
5430,63.0,1,1.0,,2.0,,3.0,,,,,20.0,,,,,,,,,42.0,,,29.0,,,0,,49-037-06396,10.0,0.0,19.0,,,,,,,,,
5438,57.0,3,3.0,,2.0,,2.0,,,,,21.0,,,,,,,,,47.0,,,30.0,,,0,,49-037-06396,9.0,0.0,14.0,,,,,,,,,
5456,51.0,13,2.0,,3.0,,4.0,,,,,18.0,,,,,,,,,50.0,,,27.0,,,0,,49-037-06396,9.0,0.0,14.0,,,,,,,,,
5840,61.0,2,2.0,,2.0,,4.0,,,,,19.0,,,,,,,,,50.0,,,22.0,,,0,,49-037-06396,11.0,0.0,17.0,,,,,,,,,
5851,64.0,0,2.0,,2.0,,4.0,,,,,18.0,,,,,,,,,48.0,,,21.0,,,0,,49-037-06396,14.0,0.0,17.0,,,,,,,,,
5904,61.0,9,0.0,,0.0,,1.0,,,,,20.0,,,,,,,,,44.0,,,24.0,,,0,,49-037-06396,22.0,0.0,10.0,,,,,,,,,
,37.2,,19.3,,,,,,,,,,9.2,,,,,,,23.7,,,,1.5,,,0.9,,49-037-06417,,,,,,,,,,,,
667,77.0,0,0.0,,,,1.0,,,,,15.0,,,,,,,,,0.0,,,7.0,,,,,49-037-07100,0.0,,,0.0,,,,,,,,
680,67.0,18,0.0,,,,0.0,,,,,11.0,,,,,,,,,0.0,,,4.0,,,,,49-037-07100,0.0,,,0.0,,,,,,,,
702,79.0,2,2.0,,,,1.0,,,,,4.0,,,,,,,,,4.0,,,4.0,,,,,49-037-07100,2.0,,,2.0,,,,,,,,
716,82.0,0,0.0,,,,4.0,,,,,7.0,,,,,,,,,0.0,,,7.0,,,,,49-037-07100,0.0,,,0.0,,,,,,,,
751,91.0,0,0.0,,,,1.0,,,,,3.0,,,,,,,,,0.0,,,5.0,,,,,49-037-07100,0.0,,,0.0,,,,,,,,
769,83.0,1,0.0,,,,0.0,,,,,9.0,,,,,,,,,0.0,,,7.0,,,,,49-037-07100,0.0,,,0.0,,,,,,,,
828,87.0,0,0.0,,,,2.0,,,,,1.0,,,,,,,,,0.0,,,2.0,,,,,49-037-07100,4.0,,,0.0,,,,,,,,
844,77.0,0,0.0,,,,4.0,,,,,11.0,,,,,,,,,0.0,,,8.0,,,,,49-037-07100,0.0,,,0.0,,,,,,,,
860,81.0,3,0.0,,,,3.0,,,,,7.0,,,,,,,,,0.0,,,6.0,,,,,49-037-07100,0.0,,,0.0,,,,,,,,
940,90.0,0,0.0,,,,2.0,,,,,2.0,,,,,,,,,0.0,,,6.0,,,,,49-037-07100,0.0,,,0.0,,,,,,,,
961,92.0,0,0.0,,,,1.0,,,,,2.0,,,,,,,,,0.0,,,5.0,,,,,49-037-07100,0.0,,,0.0,,,,,,,,
970,91.0,0,0.0,,,,2.0,,,,,0.0,,,,,,,,,0.0,,,5.0,,,,,49-037-07100,0.0,,,0.0,,,,,,,,
992,89.0,0,0.0,,,,2.0,,,,,2.0,,,,,,,,,0.0,,,5.0,,,,,49-037-07100,0.0,,,0.0,,,,,,,,
1028,90.0,0,0.0,,,,0.0,,,,,0.0,,,,,,,,,2.0,,,7.0,,,,,49-037-07100,0.0,,,1.0,,,,,,,,
4878.5,43.3,,,,,,3.3,,,,,0.0,,,,,,,,,,,,,,,,,49-037-20033,,,,,,,,,,,,
4899.0,35.7,,,,,,6.3,,,,,1.7,,,,,,,,,,,,,,,,,49-037-20033,,,,,,,,,,,,
17780.2,78.0,0.0,5.1,,,,1.0,,,,,3.1,,,,,,,,,1.6,,,2.0,,,0.5,,49-037-20132,0.0,,,,*,,,,,,,
17784.5,71.8,0.0,3.9,,,,0.0,,,,,3.1,,,,,,,,,4.1,,,3.2,,,1.1,,49-037-20132,0.0,,,,,,,,,,,
17788.1,74.0,0.0,2.6,,,,0.8,,,,,3.1,,,,,,,,,3.3,,,4.0,,,1.3,,49-037-20132,0.0,,,,,,,,,,,
17793.0,2.7,0.6,0.0,,,,1.8,,,,,2.9,,,,,,,,,18.8,,,7.4,,,27.6,,49-037-20132,8.6,,,,,,,,,,,
17794.5,45.4,0.0,0.0,,,,,,,,,2.3,,,,,,,,,3.7,,,36.9,,,0.0,,49-037-20132,2.5,,,,,,,,,,,
4632,85.0,0,6.0,,0.0,,6.0,,,,,0.0,,,,,,,,,,,,,,,0,,49-037-20392,,,,,,,,,,,,
4634,84.0,0,6.0,,0.0,,6.0,,,,,0.0,,,,,,,,,,,,0.0,,,1,,49-037-20392,,,,,,,,,,,,
4636,87.0,0,5.0,,0.0,,4.0,,,,,0.0,,,,,,,,,,,,0.0,,,0,,49-037-20392,,,,,,,,,,,,
4638,80.0,0,6.0,,0.0,,7.0,,,,,0.0,,,,,,,,,,,,0.0,,,2,,49-037-20392,,,,,,,,,,,,
4641,87.0,0,3.0,,0.0,,6.0,,,,,0.0,,,,,,,,,,,,0.0,,,1,,49-037-20392,,,,,,,,,,,,
4643,90.0,0,1.0,,0.0,,6.0,,,,,0.0,,,,,,,,,,,,0.0,,,0,,49-037-20392,,,,,,,,,,,,
4644,92.0,0,1.0,,0.0,,4.0,,,,,0.0,,,,,,,,,,,,0.0,,,0,,49-037-20392,,,,,,,,,,,,
4645,91.0,0,1.0,,0.0,,4.0,,,,,0.0,,,,,,,,,,,,0.0,,,0,,49-037-20392,,,,,,,,,,,,
4646,92.0,0,1.0,,0.0,,3.0,,,,,0.0,,,,,,,,,,,,0.0,,,0,,49-037-20392,,,,,,,,,,,,
4648,92.0,0,1.0,,0.0,,4.0,,,,,0.0,,,,,,,,,,,,0.0,,,0,,49-037-20392,,,,,,,,,,,,
4650,92.0,0,1.0,,0.0,,4.0,,,,,0.0,,,,,,,,,,,,0.0,,,0,,49-037-20392,,,,,,,,,,,,
4651,91.0,0,1.0,,0.0,,4.0,,,,,0.0,,,,,,,,,,,,0.0,,,0,,49-037-20392,,,,,,,,,,,,
4653,90.0,0,1.0,,0.0,,5.0,,,,,0.0,,,,,,,,,,,,0.0,,,0,,49-037-20392,,,,,,,,,,,,
4655,88.0,0,4.0,,0.0,,5.0,,,,,0.0,,,,,,,,,,,,0.0,,,0,,49-037-20392,,,,,,,,,,,,
4657,86.0,0,4.0,,0.0,,5.0,,,,,0.0,,,,,,,,,,,,0.0,,,1,,49-037-20392,,,,,,,,,,,,
4659,83.0,0,4.0,,0.0,,10.0,,,,,0.0,,,,,,,,,,,,0.0,,,0,,49-037-20392,,,,,,,,,,,,
4663,92.0,0,1.0,,0.0,,3.0,,,,,0.0,,,,,,,,,,,,1.0,,,0,,49-037-20392,,,,,,,,,,,,
4666,93.0,0,1.0,,0.0,,2.0,,,,,0.0,,,,,,,,,,,,0.0,,,1,,49-037-20392,,,,,,,,,,,,
4668,88.0,0,2.0,,0.0,,7.0,,,,,0.0,,,,,,,,,,,,0.0,,,0,,49-037-20392,,,,,,,,,,,,
4670,89.0,0,1.0,,0.0,,5.0,,,,,0.0,,,,,,,,,,,,0.0,,,0,,49-037-20392,,,,,,,,,,,,
4672,90.0,0,1.0,,0.0,,6.0,,,,,0.0,,,,,,,,,,,,0.0,,,0,,49-037-20392,,,,,,,,,,,,
4674,76.0,0,10.0,,0.0,,9.0,,,,,0.0,,,,,,,,,,,,0.0,,,1,,49-037-20392,,,,,,,,,,,,
4675,80.0,0,9.0,,0.0,,6.0,,,,,0.0,,,,,,,,,,,,0.0,,,1,,49-037-20392,,,,,,,,,,,,
4677,89.0,0,1.0,,0.0,,6.0,,,,,0.0,,,,,,,,,,,,1.0,,,0,,49-037-20392,,,,,,,,,,,,
4682,89.0,0,2.0,,0.0,,6.0,,,,,0.0,,,,,,,,,,,,0.0,,,0,,49-037-20392,,,,,,,,,,,,
4688,75.0,0,13.0,,0.0,,7.0,,,,,0.0,,,,,,,,,,,,0.0,,,0,,49-037-20392,,,,,,,,,,,,
4692,88.0,0,1.0,,0.0,,7.0,,,,,0.0,,,,,,,,,,,,0.0,,,0,,49-037-20392,,,,,,,,,,,,
4694,86.0,0,2.0,,0.0,,8.0,,,,,0.0,,,,,,,,,,,,0.0,,,0,,49-037-20392,,,,,,,,,,,,
4695,90.0,0,2.0,,0.0,,5.0,,,,,0.0,,,,,,,,,,,,0.0,,,0,,49-037-20392,,,,,,,,,,,,
" 8,698.5 ",47.2,4.9,0.4,3.0,0.1,,22.4,4.4,,,0.8,,17.3,,,,,,,8.0,4.8,0.2,,2.9,0.7,0.5,0.4,1.9,49-037-20846,,,,,,,,,,,,
" 8,730.4 ",38.5,19.7,1.2,2.3,0.4,,22.1,6.1,,,2.0,,14.0,,,,,,,4.1,5.5,0.5,,1.2,0.2,0.2,1.3,0.3,49-037-20846,,,,,,,,,,,,
" 8,742.0 ",47.4,4.9,1.0,3.2,1.0,,24.3,6.4,,,3.3,,14.6,,,,,,,6.6,2.2,0.9,,3.0,0.3,1.0,0.2,1.1,49-037-20846,,,,,,,,,,,,
" 8,785.2 ",30.0,1.8,7.7,2.9,0.8,,18.5,4.8,,,2.7,,11.0,,,,,,,18.5,3.9,0.0,,9.9,1.7,0.9,0.3,0.5,49-037-20846,,,,,,,,,,,,
" 8,800.1 ",41.7,3.1,3.0,2.2,2.1,,25.2,4.9,,,6.0,,14.3,,,,,,,11.4,0.9,1.6,,3.9,0.1,1.0,0.5,1.3,49-037-20846,,,,,,,,,,,,
