         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	        C(4)	   si_CO2(g)	    pressure	   total mol	      volume	    g_CO2(g)	
           1	      i_soln	           1	         -99	         -99	         -99	           7	           4	  0.0000e+00	   -999.9990	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	       react	           1	         -99	           0	           1	           7	           4	  0.0000e+00	   -999.9990	  3.1433e-02	  1.2854e-03	  1.0000e+00	  0.0000e+00	
           1	       react	           1	         -99	           0	           2	     3.50372	           4	  2.1769e-01	      0.8063	  6.6791e+00	  2.8374e-01	  1.0000e+00	  2.8231e-01	
           1	       react	           1	         -99	           0	           3	     3.36459	           4	  4.1513e-01	      1.0885	  1.3250e+01	  5.8647e-01	  1.0000e+00	  5.8488e-01	
           1	       react	           1	         -99	           0	           4	     3.28848	           4	  5.9169e-01	      1.2444	  1.9680e+01	  9.1011e-01	  1.0000e+00	  9.0834e-01	
           1	       react	           1	         -99	           0	           5	     3.23847	           4	  7.4703e-01	      1.3477	  2.5897e+01	  1.2550e+00	  1.0000e+00	  1.2530e+00	
           1	       react	           1	         -99	           0	           6	     3.20297	           4	  8.8133e-01	      1.4216	  3.1827e+01	  1.6210e+00	  1.0000e+00	  1.6187e+00	
           1	       react	           1	         -99	           0	           7	     3.17679	           4	  9.9523e-01	      1.4764	  3.7395e+01	  2.0074e+00	  1.0000e+00	  2.0048e+00	
           1	       react	           1	         -99	           0	           8	     3.15711	           4	  1.0899e+00	      1.5180	  4.2533e+01	  2.4131e+00	  1.0000e+00	  2.4102e+00	
           1	       react	           1	         -99	           0	           9	     3.14221	           4	  1.1669e+00	      1.5496	  4.7181e+01	  2.8365e+00	  1.0000e+00	  2.8332e+00	
           1	       react	           1	         -99	           0	          10	     3.13094	           4	  1.2282e+00	      1.5736	  5.1298e+01	  3.2757e+00	  1.0000e+00	  3.2719e+00	
           1	       react	           1	         -99	           0	          11	     3.12248	           4	  1.2757e+00	      1.5917	  5.4856e+01	  3.7287e+00	  1.0000e+00	  3.7244e+00	
           1	       react	           1	         -99	           0	          12	     3.11622	           4	  1.3116e+00	      1.6052	  5.7847e+01	  4.1934e+00	  1.0000e+00	  4.1885e+00	
           1	       react	           1	         -99	           0	          13	     3.11169	           4	  1.3379e+00	      1.6150	  6.0279e+01	  4.6678e+00	  1.0000e+00	  4.6623e+00	
           1	       react	           1	         -99	           0	          14	     3.10851	           4	  1.3563e+00	      1.6218	  6.2174e+01	  5.1502e+00	  1.0000e+00	  5.1439e+00	
           1	       react	           1	         -99	           0	          15	      3.1064	           4	  1.3685e+00	      1.6264	  6.3564e+01	  5.6388e+00	  1.0000e+00	  5.6317e+00	
           1	       react	           1	         -99	           0	          16	     3.10511	           4	  1.3758e+00	      1.6292	  6.4491e+01	  6.1324e+00	  1.0000e+00	  6.1244e+00	
           1	       react	           1	         -99	           0	          17	     3.10445	           4	  1.3795e+00	      1.6307	  6.5003e+01	  6.6297e+00	  1.0000e+00	  6.6207e+00	
           1	       react	           1	         -99	           0	          18	     3.10427	           4	  1.3805e+00	      1.6311	  6.5152e+01	  7.1299e+00	  1.0000e+00	  7.1198e+00	
           1	       react	           1	         -99	           0	          19	     3.10429	           4	  1.3805e+00	      1.6310	  6.5146e+01	  7.6311e+00	  1.0000e+00	  7.6198e+00	
           1	       react	           1	         -99	           0	          20	     3.10431	           4	  1.3803e+00	      1.6310	  6.5139e+01	  8.1326e+00	  1.0000e+00	  8.1201e+00	
           1	       react	           1	         -99	           0	          21	     3.10437	           4	  1.3799e+00	      1.6309	  6.5132e+01	  8.6344e+00	  1.0000e+00	  8.6205e+00	
           1	       react	           1	         -99	           0	          22	     3.10446	           4	  1.3793e+00	      1.6307	  6.5124e+01	  9.1365e+00	  1.0000e+00	  9.1211e+00	
           1	       react	           1	         -99	           0	          23	     3.10457	           4	  1.3785e+00	      1.6304	  6.5117e+01	  9.6389e+00	  1.0000e+00	  9.6219e+00	
           1	       react	           1	         -99	           0	          24	     3.10471	           4	  1.3776e+00	      1.6301	  6.5108e+01	  1.0142e+01	  1.0000e+00	  1.0123e+01	
           1	       react	           1	         -99	           0	          25	     3.10487	           4	  1.3765e+00	      1.6298	  6.5100e+01	  1.0644e+01	  1.0000e+00	  1.0624e+01	
           1	       react	           1	         -99	           0	          26	     3.10504	           4	  1.3753e+00	      1.6295	  6.5091e+01	  1.1148e+01	  1.0000e+00	  1.1125e+01	
           1	       react	           1	         -99	           0	          27	     3.10521	           4	  1.3741e+00	      1.6291	  6.5082e+01	  1.1651e+01	  1.0000e+00	  1.1626e+01	
           1	       react	           1	         -99	           0	          28	     3.10538	           4	  1.3730e+00	      1.6287	  6.5073e+01	  1.2154e+01	  1.0000e+00	  1.2128e+01	
           1	       react	           1	         -99	           0	          29	     3.10554	           4	  1.3719e+00	      1.6284	  6.5063e+01	  1.2658e+01	  1.0000e+00	  1.2629e+01	
           1	       react	           1	         -99	           0	          30	     3.10569	           4	  1.3709e+00	      1.6281	  6.5053e+01	  1.3161e+01	  1.0000e+00	  1.3130e+01	
           1	       react	           1	         -99	           0	          31	      3.1058	           4	  1.3701e+00	      1.6278	  6.5042e+01	  1.3664e+01	  1.0000e+00	  1.3631e+01	
           1	       react	           1	         -99	           0	          32	     3.10589	           4	  1.3695e+00	      1.6277	  6.5031e+01	  1.4168e+01	  1.0000e+00	  1.4131e+01	
           1	       react	           1	         -99	           0	          33	     3.10593	           4	  1.3693e+00	      1.6276	  6.5020e+01	  1.4671e+01	  1.0000e+00	  1.4632e+01	
           1	       react	           1	         -99	           0	          34	     3.10488	           4	  1.3731e+00	      1.6300	  6.7050e+01	  1.5170e+01	  1.0000e+00	  1.5128e+01	
           1	       react	           1	         -99	           0	          35	     3.10311	           4	  1.3794e+00	      1.6340	  7.0590e+01	  1.5667e+01	  1.0000e+00	  1.5622e+01	
           1	       react	           1	         -99	           0	          36	     3.10096	           4	  1.3868e+00	      1.6390	  7.5029e+01	  1.6162e+01	  1.0000e+00	  1.6114e+01	
           1	       react	           1	         -99	           0	          37	     3.09842	           4	  1.3954e+00	      1.6449	  8.0473e+01	  1.6657e+01	  1.0000e+00	  1.6606e+01	
           1	       react	           1	         -99	           0	          38	     3.09545	           4	  1.4051e+00	      1.6518	  8.7041e+01	  1.7151e+01	  1.0000e+00	  1.7096e+01	
           1	       react	           1	         -99	           0	          39	     3.09202	           4	  1.4160e+00	      1.6598	  9.4858e+01	  1.7643e+01	  1.0000e+00	  1.7585e+01	
           1	       react	           1	         -99	           0	          40	     3.08812	           4	  1.4281e+00	      1.6690	  1.0406e+02	  1.8134e+01	  1.0000e+00	  1.8073e+01	
           1	       react	           1	         -99	           0	          41	      3.0837	           4	  1.4413e+00	      1.6794	  1.1481e+02	  1.8625e+01	  1.0000e+00	  1.8560e+01	
           1	       react	           1	         -99	           0	          42	     3.07873	           4	  1.4557e+00	      1.6911	  1.2726e+02	  1.9114e+01	  1.0000e+00	  1.9046e+01	
           1	       react	           1	         -99	           0	          43	     3.07317	           4	  1.4713e+00	      1.7043	  1.4159e+02	  1.9602e+01	  1.0000e+00	  1.9531e+01	
           1	       react	           1	         -99	           0	          44	       3.067	           4	  1.4881e+00	      1.7190	  1.5801e+02	  2.0089e+01	  1.0000e+00	  2.0014e+01	
           1	       react	           1	         -99	           0	          45	     3.06015	           4	  1.5060e+00	      1.7354	  1.7674e+02	  2.0574e+01	  1.0000e+00	  2.0496e+01	
           1	       react	           1	         -99	           0	          46	     3.05259	           4	  1.5251e+00	      1.7536	  1.9803e+02	  2.1059e+01	  1.0000e+00	  2.0977e+01	
           1	       react	           1	         -99	           0	          47	     3.04426	           4	  1.5453e+00	      1.7737	  2.2214e+02	  2.1542e+01	  1.0000e+00	  2.1457e+01	
           1	       react	           1	         -99	           0	          48	     3.03511	           4	  1.5667e+00	      1.7960	  2.4939e+02	  2.2024e+01	  1.0000e+00	  2.1936e+01	
           1	       react	           1	         -99	           0	          49	     3.02508	           4	  1.5891e+00	      1.8205	  2.8012e+02	  2.2505e+01	  1.0000e+00	  2.2414e+01	
           1	       react	           1	         -99	           0	          50	     3.01408	           4	  1.6126e+00	      1.8476	  3.1472e+02	  2.2985e+01	  1.0000e+00	  2.2890e+01	
           1	       react	           1	         -99	           0	          51	     3.00206	           4	  1.6370e+00	      1.8774	  3.5364e+02	  2.3463e+01	  1.0000e+00	  2.3366e+01	
           1	       react	           1	         -99	           0	          52	     2.98891	           4	  1.6623e+00	      1.9102	  3.9739e+02	  2.3941e+01	  1.0000e+00	  2.3841e+01	
           1	       react	           1	         -99	           0	          53	     2.97454	           4	  1.6884e+00	      1.9464	  4.4654e+02	  2.4417e+01	  1.0000e+00	  2.4315e+01	
           1	       react	           1	         -99	           0	          54	     2.95885	           4	  1.7152e+00	      1.9863	  5.0177e+02	  2.4893e+01	  1.0000e+00	  2.4788e+01	
           1	       react	           1	         -99	           0	          55	     2.94169	           4	  1.7425e+00	      2.0302	  5.6386e+02	  2.5368e+01	  1.0000e+00	  2.5261e+01	
           1	       react	           1	         -99	           0	          56	     2.92293	           4	  1.7702e+00	      2.0788	  6.3373e+02	  2.5842e+01	  1.0000e+00	  2.5733e+01	
           1	       react	           1	         -99	           0	          57	      2.9024	           4	  1.7979e+00	      2.1325	  7.1247e+02	  2.6316e+01	  1.0000e+00	  2.6206e+01	
           1	       react	           1	         -99	           0	          58	     2.87989	           4	  1.8255e+00	      2.1920	  8.0139e+02	  2.6789e+01	  1.0000e+00	  2.6678e+01	
           1	       react	           1	         -99	           0	          59	     2.85517	           4	  1.8525e+00	      2.2583	  9.0204e+02	  2.7263e+01	  1.0000e+00	  2.7151e+01	
           1	       react	           1	         -99	           0	          60	     2.82797	           4	  1.8785e+00	      2.3322	  1.0164e+03	  2.7737e+01	  1.0000e+00	  2.7625e+01	
           1	       react	           1	         -99	           0	          61	     2.79794	           4	  1.9030e+00	      2.4151	  1.1467e+03	  2.8212e+01	  1.0000e+00	  2.8101e+01	
           1	       react	           1	         -99	           0	          62	     2.76468	           4	  1.9251e+00	      2.5085	  1.2962e+03	  2.8688e+01	  1.0000e+00	  2.8579e+01	
           1	       react	           1	         -99	           0	          63	     2.72769	           4	  1.9440e+00	      2.6145	  1.4685e+03	  2.9167e+01	  1.0000e+00	  2.9060e+01	
